Result Type,Objective,Platform,Ad,Ad Group,Campaign,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Text,Text ID
Link clicks,Missing Value,instagram,Ad 3;...and 5 more ads,Ad 3;...and 5 more ads,Ad 3;...and 5 more ads,2750.0,708398,1292,0.0,639437.0,0.0,4,1292.0,Igniting Conversations With Art,95
Missing Value,Missing Value,instagram,Ad 4,Ad 4,Ad 4,24.080000000000002,2302,4,0.0,2261.0,0.0,0,4.0,Learn more about how you can make your own story at SMU.,116
Link clicks,Missing Value,instagram,Ad 4 - Common Connection;...and 1 more ad,Ad 4 - Common Connection;...and 1 more ad,Ad 4 - Common Connection;...and 1 more ad,1194.51,729962,1044,669326.0,568396.0,7858.0,67,1044.0,Learn more about how you can make your own story at SMU.,116
Missing Value,Missing Value,instagram,Ad 4 - SMU Giving Day Wave 2,Ad 4 - SMU Giving Day Wave 2,Ad 4 - SMU Giving Day Wave 2,0.46,72,0,0.0,58.0,0.0,2,0.0,"For one day, we can shape a brighter future. Make your move.",77
Link clicks,Missing Value,instagram,Ad 4 - SMU Giving Day Wave 2;...and 1 more ad,Ad 4 - SMU Giving Day Wave 2;...and 1 more ad,Ad 4 - SMU Giving Day Wave 2;...and 1 more ad,195.82,18099,49,0.0,13879.0,0.0,181,49.0,"For one day, we can shape a brighter future. Make your move.",77
Link clicks,Missing Value,instagram,Ad 4 December 2021;...and 3 more ads,Ad 4 December 2021;...and 3 more ads,Ad 4 December 2021;...and 3 more ads,253.82,238301,293,0.0,221957.0,0.0,528,293.0,"Coelacanths are giant, bottom-dwelling fish whose ancient lineage stretches back more than 360 million years.",55
Link clicks,Missing Value,instagram,Ad 4 February 2022;...and 3 more ads,Ad 4 February 2022;...and 3 more ads,Ad 4 February 2022;...and 3 more ads,191.73,252252,187,0.0,231336.0,0.0,226,187.0,This partnership between SMU and DISD creates a long-term investment in the DFW community.,216
Link clicks,Missing Value,instagram,Ad 4 January 2022;...and 1 more ad,Ad 4 January 2022;...and 1 more ad,Ad 4 January 2022;...and 1 more ad,2.91,636,4,594.0,575.0,0.0,11,4.0,"Igniting the future of football on The Hilltop. A $50 million commitment from Garry A. Weber ’58, is the largest gift in the history of SMU Athletics to create a 192,500-square-foot Garry Weber End Zone Complex at Gerald J. Ford Stadium.",98
Missing Value,Missing Value,instagram,Ad 4;...and 2 more ads,Ad 4;...and 2 more ads,Ad 4;...and 2 more ads,569.99,35610,19,0.0,21811.0,0.0,1,19.0,"“Access SMU: A scholarship program to cover the cost of college for high-achieving Texas students with significant financial need.""",260
Link clicks,Missing Value,instagram,Ad 4;...and 6 more ads,Ad 4;...and 6 more ads,Ad 4;...and 6 more ads,427.36,91215,385,0.0,87090.0,0.0,555,385.0,"“Creating positive, lasting change that actually impacts the lives of people who have been adversely affected by inequality and injustice is my passion.” - Austin Hickle '22 Find out how SMU helped Austin get to where he is today.",263
Link clicks,Missing Value,instagram,Ad 5 December 2021;...and 3 more ads,Ad 5 December 2021;...and 3 more ads,Ad 5 December 2021;...and 3 more ads,186.23,23631,206,0.0,23130.0,0.0,208,206.0,"We've taken another step in entering a new era of bold research. Supported by a $100 million gift from the Moody Foundation, SMU breaks ground on the new Frances Anne Moody Hall, which will house the Moody School of Graduate and Advanced Studies.",241
Link clicks,Missing Value,instagram,Ad 5 February 2022;...and 1 more ad,Ad 5 February 2022;...and 1 more ad,Ad 5 February 2022;...and 1 more ad,19.48,9857,20,0.0,9455.0,0.0,189,20.0,"Using a crowdsourced video game, players help the team create new data sets out of captured retinal images, helping to lead to potential breakthroughs in detection and treatment.",228
