Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"“It’s no longer a question of whether or not we want to live with fire...It’s what kind of fire do we want to live with?”

Chris Roos explores the past for a path to reducing wildfire risk in the present.",Wildfire Editorial | July 2021,Roos 2,0.38,1.14,Cost per link click,0.54,0.05,21-Jul-2021 10:40,All,i26493998,i33089002,Expired,1417871999913762818,26493998
"Fueled by @NSF, SMU Professor Chris Roos will return to the field, joined by Kacy Hollenback, his partner at home and on the project.

Together, they explore the past for a path to reducing wildfire risk in the present.",Wildfire Editorial | July 2021,Roos 3,1.3,10.4,Cost per link click,3.84,0.27,21-Jul-2021 10:49,All,i26493998,i33089002,Expired,1417874282756018176,26493998
"It's no secret wildfire season is beginning earlier and spreading farther. 

SMU Professor Chris Roos is charting a path forward while looking to the past for guidance.",Wildfire Editorial | July 2021,Stoking the fires of change 2,0.06,0.31,Cost per link click,0.13,0.01,15-Jul-2021 16:09,All,i26493998,i33089002,Expired,1415780543820619783,26493998
"A photojournalist and an archaeologist make sense of wildfires; one in the present and the other looking to the past.

Their perspectives unite on a shared perspective— the necessity of coexistence.",Wildfire Editorial | July 2021,Seeking coexistence in the midst of chaos,0.94,353.84,Cost per link click,7.37,0.06,15-Jul-2021 15:56,All,i26493998,i33088738,Expired,1415777382905139207,26493998
"""This partnership will also create invaluable opportunities for our SMU students...putting them in positions of visibility for careers that support Department of Defense initiatives""",Higher Ed Influencers | July 2021,SMU and Air Force Academy forge agreement,0.29,0.58,Cost per link click,1.05,0.1,15-Jul-2021 09:43,All,i26450555,i33012903,Expired,1415683448740540425,26450555
"In the blink of an eye, 1,500 structures can be set aflame. Instant, total devastation. 

Can anything be learned but avoidance?

With visuals from @stuartpalley and research from @croos_SMU, we're learning how to stoke the fires of change. 

https://t.co/htI1tOrbhv",Wildfire Editorial | July 2021,summary_large_image,0.91,1539.3,Cost per link click,9.78,0.42,13-Jul-2021 13:34,All,i26493998,i33065016,Expired,1415016808084475904,26493998
"There's a storm coming and evacuating communities is a necessity. Where will they go? How will they find resources on arrival?

Professor Üster's model will provide a map to those answers.",Higher Ed Influencers | July 2021,Catastrophes and Bread,0.0,0.01,Cost per link click,0.01,0.0,13-Jul-2021 11:35,All,i26450555,i33004227,Expired,1414986824787759104,26450555
"From geophysics to engineering, these four professors have been selected for an award distributed to outstanding scholars for research support.",Higher Ed Influencers | July 2021,Four professors named SMU 2021 Ford Research Fellows,0.0,0.01,Cost per link click,0.01,0.0,08-Jul-2021 16:02,All,i26450555,i33016024,Paused,1413242037994889217,26450555
"Catastrophes like Hurricane Harvey raise big questions: Why weren’t we prepared?

Professor Üster's project will explore ways to use data to help move millions safely out of harm's way—with enough supplies available to meet their needs.",Higher Ed Influencers | July 2021,Evacuee 2,0.0,0.01,Cost per link click,0.03,0.01,08-Jul-2021 15:52,All,i26450555,i33004227,Paused,1413239588420689922,26450555
"A ball of 4,000-year-old hair frozen in time tangled around a whalebone comb led to the first ever reconstruction of an ancient human genome.",Higher Ed Influencers | July 2021,Metzler Genome Study,0.54,398.11,Cost per link click,9.33,0.3,07-Jul-2021 17:05,All,i26450555,i33004333,Expired,1412895665387016194,26450555
The finding could lead to new treatments for the disease that affects nearly 6 million Americans.,Higher Ed Influencers | July 2021,Alzheimer's Treatment,0.77,219.67,Cost per link click,8.82,0.43,07-Jul-2021 17:02,All,i26450555,i33004319,Expired,1412894923712471041,26450555
"“The more we know, the more power we have – and researchers after us – to address and target these devastating diseases.”",Higher Ed Influencers | July 2021,P-glycoprotein removes Alzheimer’s-associated toxin from the brain,0.11,1.59,Cost per link click,0.5,0.05,07-Jul-2021 16:58,All,i26450555,i33004319,Expired,1412893896862961668,26450555
"This research was personal.

Both lead researchers, James W. McCormick and Lauren Ammerman, lost a grandmother to the disease while at SMU.",Higher Ed Influencers | July 2021,Alzheimers Protein,0.0,0.01,Cost per link click,0.01,0.0,07-Jul-2021 17:01,All,i26450555,i33004319,Expired,1412894590403706884,26450555
"A drop is applied to a microfluidic chip. Then two to three minutes later, you can efficiently detect antibodies in the plasma.

Introducing Lab on a Chip

https://t.co/Sf3RUtqc62",Lab on a Chip | June 2021,summary_large_image,2.53,222.3,Cost per link click,6.91,0.6,09-Jun-2021 15:46,All,i26209105,i32882343,Expired,1402728816284418055,26209105
"Tap into the mighty potential of this small device.

Our researchers have changed the pace of detecting antibodies to save lives.",Lab on a Chip | June 2021,Lab Chip Graphic,2.37,45.01,Cost per link click,3.99,0.65,24-Jun-2021 15:20,All,i26209105,i32882343,Expired,1408158124544983041,26209105
Using a single drop of blood- Lab on a Chip can detect immune responses to antibodies in two to three minutes.,Lab on a Chip | June 2021,Lab on a Chip Video 2,2.15,560.15,Cost per link click,5.22,0.51,04-Jun-2021 15:04,All,i26209105,i32666994,Expired,1400906387228708869,26209105
"Investing in our community’s children – the problem solvers of the future.

The next step of our partnership with 
@dallasschools and the @Toyota USA Foundation is the opening  of the West Dallas STEM School, planned for August 2021.",May Higher Ed Stories | May 2021,STEM School,3.94,55.12,Cost per link click,6.33,0.61,17-May-2021 16:30,All,i25967502,i32477438,Expired,1394405077851455488,25967502
The idea for ChemGen arose when a team of SMU researchers were trying to find compounds that can reverse chemotherapy failure.,May Higher Ed Stories | May 2021,ChemGen V3,6.0,198.12,Cost per link click,14.03,1.62,14-May-2021 09:25,All,i25967502,i32377796,Expired,1393210932923453443,25967502
"Our students can recover.

SMU education experts offer eight ways for leaders to support teachers and students recovering from the last year's “learning slump.”",May Higher Ed Stories | May 2021,Learning Slump,6.15,110.75,Cost per link click,12.95,1.19,14-May-2021 09:22,All,i25967502,i32377865,Expired,1393210161125339142,25967502
"“When children are missing skills, it usually boils down to something very specific. If we can address what is going on, we can get them past it.” 

-Diane Gifford, an education professor within SMU Simmons School of Human Development",May Higher Ed Stories | May 2021,Kinder Test 3,6.27,137.91,Cost per link click,13.32,1.59,14-May-2021 09:17,All,i25967502,i32429294,Expired,1393208745518305287,25967502
"Michelle Davis invites the student to sit and settle in to her colorful, U-shaped table. Then she starts the timer.

“Just tell me what you know.”",May Higher Ed Stories | May 2021,Kinder test 2 | May 2021,1.4,785.67,Cost per link click,10.47,0.7,12-May-2021 09:36,All,i25967502,i32429294,Expired,1392488888413802498,25967502
"The idea for ChemGen arose when researchers were trying to find compounds that can reverse chemotherapy failure. 

Using computational routines, ChemGen mimics chemical reactions in a lab, cutting time and labor-related expense required to find the drug for a desired outcome.",May Higher Ed Stories | May 2021,ChemGen Round 2,13.36,80.18,Cost per link click,12.72,1.48,10-May-2021 14:14,All,i25967502,i32377796,Expired,1391833936620261380,25967502
"15,000 years with our furry best friends.

Researchers have found the bond between man and dog can be traced back thousands of years ago to Siberia.",May Higher Ed Stories | May 2021,Dog Migration v2,0.61,4.25,Cost per link click,3.61,0.22,10-May-2021 11:33,All,i25967502,i32377707,Paused,1391793546659647488,25967502
"How can we support our kids in the classroom moving forward?

1. Start with the basics
2. Support our teachers",May Higher Ed Stories | May 2021,Learning Slump Research 2 | May 2021,4.7,197.47,Cost per link click,9.51,0.96,07-May-2021 12:48,All,i25967502,i32377865,Expired,1390725243992375296,25967502
"Renowned SMU human speed expert, Peter Weyand weighed in on the rulings for use of prostheses in the Tokyo Olympics.",May Higher Ed Stories | May 2021,SMU Paralympic Research | May 2021,1.54,2794.91,Cost per link click,11.51,0.76,06-May-2021 15:40,All,i25967502,i32377902,Expired,1390406037727940608,25967502
